EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
5.999,2.872,-7.553,82.067,-36.418,-27.556,-40.805,-3.692,-0.100,0.737,0.650,-0.824,7.690,2.411,86.667,15954.000,1.000
16.092,6.242,-2.935,98.431,-20.044,-14.806,-26.528,1.437,-0.102,0.737,0.650,-0.977,7.843,1.953,86.667,15955.000,1.000
23.160,8.653,1.351,121.944,-3.185,-1.564,-11.612,5.768,-0.105,0.738,0.648,-1.190,7.996,1.648,86.667,15956.000,1.000
26.135,9.369,4.376,148.545,11.612,10.264,1.618,8.244,-0.108,0.737,0.647,-1.434,8.026,1.373,86.667,15957.000,1.000
22.688,6.413,3.493,165.692,17.444,14.942,7.070,6.294,-0.112,0.737,0.649,-1.587,8.057,1.160,86.667,15958.000,1.000
12.253,-0.902,-2.831,160.677,9.000,7.963,0.180,-1.408,-0.115,0.738,0.650,-1.526,7.874,0.824,86.667,15959.000,1.000
-1.974,-10.334,-12.644,131.955,-11.276,-8.633,-16.807,-12.606,-0.116,0.737,0.651,-1.831,7.721,0.610,86.667,15960.000,1.000
-15.328,-18.396,-22.041,88.769,-35.346,-28.005,-36.950,-23.057,-0.119,0.735,0.650,-1.801,7.507,0.366,86.667,15961.000,1.000
-25.548,-23.431,-28.896,39.805,-57.579,-45.363,-55.661,-30.418,-0.124,0.738,0.652,-1.923,7.080,0.244,86.667,15962.000,1.000
-33.292,-26.113,-33.882,-13.971,-78.279,-61.054,-73.522,-35.371,-0.128,0.738,0.651,-2.045,6.744,0.092,86.667,15963.000,1.000
-39.176,-27.204,-37.774,-73.440,-98.753,-76.338,-91.623,-38.827,-0.132,0.741,0.652,-2.106,6.378,0.000,86.667,15964.000,1.000
-41.742,-26.172,-39.293,-131.587,-115.470,-88.369,-106.415,-39.595,-0.135,0.744,0.654,-2.258,5.829,-0.183,86.667,15965.000,1.000
-39.097,-22.396,-36.466,-174.293,-121.665,-91.615,-111.421,-35.757,-0.137,0.744,0.655,-2.502,5.463,-0.366,86.667,15966.000,1.000
-31.806,-16.720,-29.267,-191.669,-114.356,-83.765,-103.693,-27.524,-0.140,0.743,0.657,-2.655,4.913,-0.275,86.667,15967.000,1.000
-22.995,-10.926,-20.009,-185.794,-97.578,-68.294,-86.795,-17.702,-0.143,0.744,0.656,-2.808,4.364,-0.275,86.667,15968.000,1.000
-15.343,-5.904,-11.277,-165.739,-77.857,-50.678,-66.823,-9.341,-0.146,0.743,0.654,-2.838,3.540,-0.305,86.667,15969.000,1.000
-8.779,-0.973,-4.075,-137.521,-58.051,-33.526,-46.941,-3.425,-0.147,0.743,0.652,-2.991,2.930,-0.366,86.667,15970.000,1.000
-1.877,4.724,1.839,-102.501,-37.456,-16.735,-27.267,0.895,-0.151,0.741,0.655,-3.113,2.197,-0.275,86.667,15971.000,1.000
5.065,10.577,6.371,-64.925,-17.140,-1.497,-9.245,4.261,-0.153,0.743,0.659,-3.357,1.556,-0.336,86.667,15972.000,1.000
9.521,14.762,8.599,-36.199,-2.415,8.140,2.489,6.070,-0.155,0.743,0.658,-3.418,0.916,-0.336,86.667,15973.000,1.000
9.403,15.967,7.846,-28.236,1.267,8.599,3.732,5.509,-0.154,0.744,0.658,-3.540,0.122,-0.336,86.667,15974.000,1.000
4.996,14.226,4.428,-43.928,-6.695,0.284,-5.213,2.709,-0.153,0.745,0.659,-3.632,-0.641,-0.427,86.667,15975.000,1.000
-2.483,9.763,-1.450,-77.370,-23.033,-13.928,-20.878,-2.076,-0.155,0.742,0.658,-3.632,-1.373,-0.458,86.667,15976.000,1.000
-13.170,1.807,-10.977,-122.888,-45.638,-33.028,-41.271,-9.911,-0.156,0.742,0.660,-3.723,-1.953,-0.336,86.667,15977.000,1.000
-27.601,-10.159,-25.263,-179.472,-74.482,-58.011,-66.565,-22.081,-0.155,0.743,0.659,-3.784,-2.686,-0.275,86.667,15978.000,1.000
-43.336,-23.729,-41.976,-243.981,-106.399,-86.632,-94.211,-36.849,-0.154,0.741,0.659,-3.815,-3.418,-0.183,86.667,15979.000,1.000
-54.221,-33.423,-54.719,-303.453,-131.695,-110.267,-115.733,-48.533,-0.151,0.739,0.660,-3.845,-3.998,-0.183,86.667,15980.000,1.000
