EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-15.034,-1.091,-15.476,-11.579,-2.216,-22.123,-10.969,1.407,-0.030,1.008,-0.136,-2.960,-1.007,0.519,73.333,30673.000,1.000
-13.863,1.713,-14.107,-11.088,-1.494,-15.512,-6.535,9.382,-0.031,1.007,-0.139,-2.838,-1.129,0.641,73.333,30674.000,1.000
-14.348,2.332,-12.551,-10.599,0.498,-9.456,-4.013,16.626,-0.034,1.008,-0.138,-2.594,-1.129,0.671,73.333,30675.000,1.000
-16.164,1.059,-10.270,-10.222,3.088,-4.200,-3.605,21.710,-0.033,1.008,-0.137,-2.472,-1.129,0.671,73.333,30676.000,1.000
-17.585,-0.418,-6.859,-9.579,5.767,1.084,-3.930,24.434,-0.031,1.006,-0.136,-2.441,-1.343,0.610,73.333,30677.000,1.000
-17.161,-0.989,-2.439,-8.238,8.311,6.874,-3.999,25.336,-0.031,1.006,-0.135,-2.380,-1.434,0.549,73.333,30678.000,1.000
-15.038,-1.220,2.292,-6.174,10.576,12.478,-4.307,24.820,-0.032,1.004,-0.132,-2.289,-1.373,0.549,73.333,30679.000,1.000
-12.437,-2.091,6.532,-3.670,12.475,16.819,-5.469,22.980,-0.031,1.002,-0.137,-2.258,-1.373,0.702,73.333,30680.000,1.000
-10.261,-3.299,9.771,-1.032,14.009,19.534,-6.550,19.865,-0.029,1.002,-0.138,-1.953,-1.495,0.671,73.333,30681.000,1.000
-8.668,-3.469,11.822,1.328,15.090,20.929,-5.739,15.587,-0.026,1.003,-0.136,-1.953,-1.495,0.824,73.333,30682.000,1.000
-7.580,-1.705,12.967,2.864,15.589,21.297,-2.573,10.371,-0.026,1.000,-0.136,-1.801,-1.404,0.854,73.333,30683.000,1.000
-6.916,1.599,14.038,3.323,15.630,20.747,1.360,4.640,-0.026,1.002,-0.136,-1.770,-1.343,0.946,73.333,30684.000,1.000
-6.318,5.456,15.820,3.046,15.623,19.520,4.161,-1.041,-0.028,1.001,-0.136,-1.617,-1.404,1.099,73.333,30685.000,1.000
-5.068,9.434,18.165,2.753,15.922,18.111,5.667,-6.099,-0.029,1.001,-0.137,-1.465,-1.495,1.343,73.333,30686.000,1.000
-2.620,13.682,19.896,3.084,16.585,16.823,7.316,-10.148,-0.028,1.003,-0.137,-1.251,-1.373,1.343,73.333,30687.000,1.000
0.761,17.946,19.807,4.420,17.587,15.281,10.114,-13.116,-0.028,1.004,-0.137,-1.160,-1.312,1.434,73.333,30688.000,1.000
4.101,21.222,17.734,6.874,19.018,12.696,13.396,-15.094,-0.031,1.005,-0.138,-1.068,-1.312,1.465,73.333,30689.000,1.000
6.494,22.577,14.362,10.048,20.700,8.595,15.827,-16.237,-0.030,1.004,-0.139,-1.129,-1.312,1.526,73.333,30690.000,1.000
7.742,22.003,10.259,12.971,21.838,3.251,17.088,-16.752,-0.032,1.006,-0.143,-0.946,-1.434,1.526,73.333,30691.000,1.000
8.285,20.466,5.795,14.818,21.663,-2.343,18.098,-16.585,-0.030,1.005,-0.140,-0.885,-1.373,1.526,73.333,30692.000,1.000
8.435,18.964,1.683,15.539,20.212,-7.139,19.425,-15.337,-0.029,1.004,-0.139,-0.793,-1.373,1.587,73.333,30693.000,1.000
7.548,17.257,-1.586,15.258,17.788,-11.143,19.753,-13.035,-0.030,1.005,-0.141,-0.763,-1.251,1.495,73.333,30694.000,1.000
4.414,14.011,-4.775,13.460,13.973,-15.433,16.730,-10.623,-0.030,1.003,-0.142,-0.732,-1.373,1.495,73.333,30695.000,1.000
-1.137,8.601,-9.401,9.473,8.005,-20.624,9.692,-9.043,-0.031,1.005,-0.143,-0.610,-1.404,1.404,73.333,30696.000,1.000
-7.585,1.996,-16.117,3.444,-0.067,-25.900,0.716,-8.136,-0.030,1.008,-0.141,-0.671,-1.434,1.190,73.333,30697.000,1.000
-13.018,-4.404,-23.843,-3.523,-8.949,-29.760,-7.343,-6.743,-0.032,1.013,-0.141,-0.732,-1.434,1.099,73.333,30698.000,1.000
-16.526,-9.795,-30.148,-9.844,-16.556,-31.054,-12.910,-3.627,-0.031,1.017,-0.141,-0.854,-1.495,0.885,73.333,30699.000,1.000
-18.209,-13.559,-32.536,-14.068,-20.988,-29.076,-15.481,1.747,-0.030,1.021,-0.141,-0.977,-1.465,0.793,73.333,30700.000,1.000
-18.586,-14.886,-30.042,-15.621,-21.647,-23.453,-14.658,8.869,-0.028,1.022,-0.143,-1.129,-1.465,0.732,73.333,30701.000,1.000
-18.536,-13.568,-23.861,-15.232,-19.625,-14.593,-10.530,16.296,-0.025,1.023,-0.143,-1.404,-1.495,0.549,73.333,30702.000,1.000
-19.296,-10.843,-16.253,-14.398,-16.789,-4.011,-4.722,22.336,-0.025,1.023,-0.143,-1.617,-1.465,0.366,73.333,30703.000,1.000
-21.716,-8.731,-8.752,-14.126,-14.282,6.322,-0.035,26.053,-0.024,1.022,-0.142,-1.831,-1.465,0.305,73.333,30704.000,1.000
-25.250,-8.232,-1.494,-14.206,-11.931,15.218,1.674,27.789,-0.023,1.024,-0.142,-2.167,-1.251,0.366,73.333,30705.000,1.000
-28.076,-8.449,5.940,-13.772,-8.993,22.826,1.076,28.640,-0.021,1.021,-0.139,-2.258,-1.129,0.427,73.333,30706.000,1.000
-28.595,-7.771,13.589,-12.333,-5.134,29.853,0.308,29.408,-0.021,1.021,-0.141,-2.502,-1.007,0.366,73.333,30707.000,1.000
-26.873,-5.677,21.110,-10.121,-0.630,36.263,0.361,29.974,-0.021,1.021,-0.141,-2.655,-1.007,0.397,73.333,30708.000,1.000
-24.531,-3.142,28.023,-7.740,3.899,40.809,0.032,29.347,-0.020,1.018,-0.142,-2.808,-0.824,0.427,73.333,30709.000,1.000
-23.133,-1.311,33.709,-5.629,7.754,42.026,-2.252,26.265,-0.020,1.017,-0.141,-2.960,-0.641,0.580,73.333,30710.000,1.000
-22.667,-0.015,37.680,-3.688,10.513,39.740,-5.900,20.240,-0.021,1.011,-0.141,-3.082,-0.397,0.610,73.333,30711.000,1.000
-21.794,2.004,39.879,-1.422,12.219,35.309,-8.268,12.166,-0.021,1.009,-0.140,-3.113,-0.275,0.641,73.333,30712.000,1.000
-19.392,5.470,40.581,1.561,13.246,30.377,-7.432,3.857,-0.021,1.008,-0.141,-3.113,-0.031,0.885,73.333,30713.000,1.000
-15.291,9.975,40.271,5.408,14.150,25.985,-3.857,-2.837,-0.021,1.008,-0.140,-3.235,-0.061,0.946,73.333,30714.000,1.000
-9.625,15.085,39.561,10.153,15.476,22.765,1.004,-6.657,-0.022,1.007,-0.139,-3.204,-0.031,1.099,73.333,30715.000,1.000
-2.523,20.877,38.553,15.372,17.121,20.814,6.498,-7.533,-0.026,1.004,-0.135,-3.296,0.183,1.160,73.333,30716.000,1.000
5.016,26.626,36.093,19.638,17.761,18.910,12.222,-7.081,-0.028,1.002,-0.136,-3.326,0.244,1.190,73.333,30717.000,1.000
10.762,29.915,30.470,21.122,15.586,14.747,16.618,-7.876,-0.028,1.002,-0.133,-3.296,0.244,1.129,73.333,30718.000,1.000
12.782,28.380,21.369,19.254,10.087,6.856,17.663,-11.365,-0.030,0.999,-0.135,-3.265,0.122,1.129,73.333,30719.000,1.000
11.350,22.331,10.564,15.421,2.777,-3.751,15.112,-16.508,-0.032,1.000,-0.137,-3.204,0.092,1.068,73.333,30720.000,1.000
9.020,15.013,0.580,11.883,-3.906,-13.991,11.392,-20.570,-0.032,1.001,-0.135,-3.052,0.092,1.038,73.333,30721.000,1.000
8.586,9.979,-6.891,10.256,-8.108,-20.849,9.644,-21.034,-0.031,1.002,-0.135,-2.991,0.122,0.854,73.333,30722.000,1.000
10.788,8.116,-11.538,10.784,-9.339,-23.489,10.695,-17.092,-0.031,1.003,-0.135,-2.960,0.061,0.946,73.333,30723.000,1.000
13.941,7.307,-14.143,12.484,-8.506,-23.505,12.265,-9.968,-0.029,1.004,-0.132,-3.082,0.061,0.824,73.333,30724.000,1.000
15.730,5.024,-15.812,13.860,-7.349,-23.171,11.465,-2.070,-0.029,1.004,-0.132,-3.021,0.031,0.702,73.333,30725.000,1.000
15.180,0.936,-17.251,13.681,-7.503,-23.515,7.801,4.347,-0.028,1.005,-0.132,-2.960,-0.122,0.702,73.333,30726.000,1.000
12.847,-3.256,-18.531,11.426,-9.672,-24.031,3.338,8.174,-0.029,1.005,-0.134,-2.960,0.031,0.702,73.333,30727.000,1.000
9.757,-5.864,-19.081,7.556,-13.182,-23.594,0.362,9.808,-0.029,1.006,-0.136,-2.930,0.000,0.763,73.333,30728.000,1.000
