TimeStamp;Delta_TP9;Delta_AF7;Delta_AF8;Delta_TP10;Theta_TP9;Theta_AF7;Theta_AF8;Theta_TP10;Alpha_TP9;Alpha_AF7;Alpha_AF8;Alpha_TP10;Beta_TP9;Beta_AF7;Beta_AF8;Beta_TP10;Gamma_TP9;Gamma_AF7;Gamma_AF8;Gamma_TP10;RAW_TP9;RAW_AF7;RAW_AF8;RAW_TP10;AUX_RIGHT;Accelerometer_X;Accelerometer_Y;Accelerometer_Z;Gyro_X;Gyro_Y;Gyro_Z;HeadBandOn;HSI_TP9;HSI_AF7;HSI_AF8;HSI_TP10;Battery;Elements
21:54:58.110;0.17998768;0.60730577;0.7160178;-0.27661332;0.24013022;0.32444555;0.1536343;0.43434078;0.53552574;-0.09639687;0.27049732;0.49221888;0.6348693;0.8278852;1.0988356;0.6047603;0.55430156;0.34521732;0.82112616;0.504099;887.6557;793.7729;477.0696;773.22345;703.91943;0.56878662109375;0.02313232421875;0.83648681640625;1.188812255859375;-4.059906005859375;-1.95892333984375;1;1.0;1.0;2.0;1.0;55.00;
21:54:59.115;0.6413618;0.60730577;0.7160178;0.51576555;0.5584456;0.32444555;0.1536343;0.55781496;1.0225886;-0.09639687;0.27049732;0.910103;0.8616203;0.8278852;1.0988356;0.93499565;0.6444986;0.34521732;0.82112616;0.48158586;927.5458;817.5458;743.8095;790.14655;699.4872;0.56561279296875;0.01910400390625;0.831787109375;0.800018310546875;-4.015045166015625;-2.325286865234375;1;1.0;1.0;2.0;1.0;55.00;
21:55:00.125;0.7102085;0.60730577;0.7160178;0.48425615;0.5073244;0.32444555;0.1536343;0.6080874;1.0717237;-0.09639687;0.27049732;0.967729;0.7747682;0.8278852;1.0988356;0.90360993;0.54868406;0.34521732;0.82112616;0.5111791;723663;783.2967;358.60806;835.2747;804.65204;0.56982421875;0.0198974609375;0.83172607421875;1.5850830078125;-4.35150146484375;-1.308441162109375;1;1.0;1.0;2.0;1.0;55.00;
21:55:01.140;0.93454665;0.60730577;0.7160178;0.8910019;0.9852464;0.32444555;0.1536343;0.9826265;1.2910658;-0.09639687;0.27049732;1.2666788;0.8298577;0.8278852;1.0988356;1.0097497;0.5767993;0.34521732;0.82112616;0.5186347;965.42126;916.26373;632.6007;775.64105;675.31134;0.57318115234375;0.01776123046875;0.8287353515625;1.45050048828125;-4.18701171875;-1.697235107421875;1;1.0;1.0;2.0;1.0;55.00;
21:55:01.985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/muse/elements/jaw_clench
21:55:02.147;0.85308653;0.60730577;0.7160178;0.80529433;0.73738915;0.32444555;0.1536343;0.7699686;1.1143708;-0.09639687;0.27049732;0.99375844;0.82657975;0.8278852;1.0988356;0.8403323;0.5812394;0.34521732;0.82112616;0.56630695;667.25275;844.5421;0.0;821.5751;941.6484;0.57391357421875;0.0186767578125;0.83355712890625;1.727142333984375;-4.02252197265625;-2.2430419921875;1;1.0;1.0;2.0;1.0;55.00;
21:55:02.503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/muse/elements/jaw_clench
21:55:03.021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/muse/elements/jaw_clench
21:55:03.149;0.84397125;0.60730577;0.7160178;0.8078142;0.79733855;0.32444555;0.1536343;0.7329575;1.1489491;-0.09639687;0.27049732;0.9840879;0.8068797;0.8278852;1.0988356;0.8399454;0.5987916;0.34521732;0.82112616;0.5336548;911.4286;921.50183;1133.4432;809.4872;649.92676;0.47637939453125;0.0078125;0.88897705078125;-11.162872314453125;18.49761962890625;-8.553466796875;1;1.0;1.0;2.0;1.0;55.00;
21:55:03.538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/muse/elements/jaw_clench
21:55:04.155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/muse/elements/blink
21:55:04.157;0.9565638;0.60730577;0.7160178;0.96125245;0.6115667;0.32444555;0.1536343;0.5520759;0.6771285;-0.09639687;0.27049732;0.81765574;0.93272704;0.8278852;1.0988356;1.0047663;0.51086354;0.34521732;0.82112616;0.5566798;749.85345;602.7839;581.4286;809.4872;732.9304;0.078125;-0.04254150390625;1.00653076171875;3.828125;-0.2093505859375;0.7177734375;1;1.0;1.0;2.0;1.0;55.00;
21:55:05.188;1.7282971;0.60730577;0.7160178;1.6953331;1.4401045;0.32444555;0.1536343;1.4328953;1.2667614;-0.09639687;0.27049732;1.0822583;1.0975848;0.8278852;1.0988356;1.0500468;0.68614364;0.34521732;0.82112616;0.6922424;835.6777;752.27106;132.5641;850989;923.5165;0.159423828125;-0.02587890625;0.99554443359375;3.51409912109375;-7.559051513671875;-0.336456298828125;1;1.0;1.0;2.0;1.0;55.00;
21:55:05.286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/muse/elements/blink
21:55:06.193;1.7282971;0.60730577;0.7160178;1.9594074;1.4401045;0.32444555;0.1536343;1.7190945;1.2667614;-0.09639687;0.27049732;1.0690747;1.0975848;0.8278852;1.0988356;1.0269557;0.68614364;0.34521732;0.82112616;0.7808506;802.6374;830.0366;719.2308;770.0;740.58606;0.31939697265625;-0.06109619140625;0.954833984375;2.355194091796875;-10.81146240234375;-1.24114990234375;1;1.0;1.0;2.0;1.0;55.00;
21:55:07.198;1.4909304;0.60730577;0.7160178;1.9594074;1.0070692;0.32444555;0.1536343;1.7190945;1.2151799;-0.09639687;0.27049732;1.0690747;0.9953884;0.8278852;1.0988356;1.0269557;0.62835675;0.34521732;0.82112616;0.7808506;855.0183;790.54944;72.12454;808.68134;1032.3077;0.35693359375;-0.05938720703125;0.93914794921875;1.495361328125;-4.523468017578125;-2.16827392578125;1;1.0;1.0;2.0;1.0;55.00;
21:55:08.232;1.2601515;0.057728212;0.7160178;0.47971007;0.8904725;0.111456744;0.1536343;0.5799605;1.2387683;0.18811527;0.27049732;1.0423355;0.9484858;1.2553935;1.0988356;0.89967847;0.5617113;0.7987248;0.82112616;0.7088423;883.22345;828022;549.59705;781.28204;763.5531;0.3656005859375;-0.05816650390625;0.936767578125;1.383209228515625;-4.2169189453125;-2.22808837890625;1;1.0;1.0;2.0;1.0;55.00;
21:55:09.239;0.09842356;-0.0074534817;0.7160178;-0.031537697;0.5200722;0.006657411;0.1536343;0.28186375;0.6430669;0.51402354;0.27049732;0.71263546;0.8089631;1.2030808;1.0988356;0.8401952;0.6679861;0.9789425;0.82112616;0.65693295;754.2857;773.6264;94.28571;817.5458;830.4396;0.37445068359375;-0.05853271484375;0.9412841796875;1.996307373046875;-4.3365478515625;-2.093505859375;1;1.0;1.0;2.0;1.0;55.00;
21:55:10.255;0.7810074;-0.03799387;0.7160178;0.42351815;0.5783035;-0.03089651;0.1536343;0.35774812;0.9359512;0.1852713;0.27049732;0.76847875;0.8769899;1.2579845;1.0988356;0.91422004;0.56142604;0.7960002;0.82112616;0.59130144;824.7985;832.0513;761.13556;804.65204;684.9817;0.37091064453125;-0.0555419921875;0.93914794921875;1.592559814453125;-3.6187744140625;-1.55517578125;1;1.0;1.0;2.0;1.0;55.00;
21:55:11.274;1.0165588;0.078456365;0.7160178;0.6834565;0.7773983;0.06289611;0.1536343;0.87463725;1.092587;0.04299448;0.27049732;1.0169754;1.032315;1.2342216;1.0988356;0.9558023;0.46052516;0.39143628;0.82112616;0.46910262;712.7839;810696;441.2088;827.2161;821.5751;0.36932373046875;-0.05511474609375;0.942626953125;1.4056396484375;-4.41131591796875;-1.502838134765625;1;1.0;1.0;2.0;1.0;55.00;
21:55:11.925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/muse/elements/blink
